id,name,address
1,"Central Library","123 Main Street, Cityville"
2,"Westside Library","456 Oak Avenue, Townsville"
3,"Eastside Library","789 Pine Road, Village City"
4,"Northside Library","101 Maple Street, Metroville"
5,"Southside Library","202 Elm Street, Suburbtown"
6,"Riverside Library","303 Cedar Lane, River City"
7,"Lakeside Library","404 Birch Avenue, Lakeside"
8,"Hillside Library","505 Spruce Street, Hilltown"
9,"Greenfield Library","606 Willow Road, Greenfield"
10,"Sunset Library","707 Sunset Boulevard, Coastal City"
11,"Valley Library","808 Valley Road, Valley Town"
12,"Parkview Library","909 Parkview Street, Parksville"
13,"Meadow Library","111 Meadow Lane, Meadowville"
14,"Harbor Library","222 Harbor Road, Harbor Town"
15,"Bayside Library","333 Bay Street, Bayside"
16,"Seaside Library","444 Seaside Road, Seaville"
17,"Mountainview Library","555 Mountain Road, Mountain City"
18,"Woodland Library","666 Woodland Street, Woodland City"
19,"Highland Library","777 Highland Road, Highland Town"
20,"Lowland Library","888 Lowland Avenue, Lowland City"
21,"Sunnydale Library","999 Sunnydale Street, Sunnyville"
22,"Rainy City Library","121 Rainy Street, Rainy City"
23,"Windy Town Library","232 Windy Avenue, Windy Town"
24,"Foggy Library","343 Foggy Road, Foggy City"
25,"Stormy Library","454 Stormy Boulevard, Stormy City"
26,"Frosty Library","565 Frosty Lane, Frosty City"
27,"Shady Library","676 Shady Street, Shady Town"
28,"Quiet Library","787 Quiet Road, Quiet City"
29,"Lonely Library","898 Lonely Street, Lonely City"
30,"Joyful Library","910 Joyful Avenue, Joyful City"
31,"Peaceful Library","101 Peaceful Street, Peaceville"
32,"Melancholy Library","212 Melancholy Road, Melancholy City"
33,"Heavenly Library","323 Heavenly Street, Heavenly Town"
34,"Hellish Library","434 Hellish Boulevard, Hellish City"
35,"Charming Library","545 Charming Avenue, Charming Town"
36,"Enchanted Library","656 Enchanted Road, Enchanted City"
37,"Majestic Library","767 Majestic Street, Majestic Town"
38,"Graceful Library","878 Graceful Road, Graceful City"
39,"Joyous Library","989 Joyous Avenue, Joyous City"
40,"Cheerful Library","100 Cheerful Street, Cheerful Town"
41,"Delightful Library","111 Delightful Avenue, Delightful City"
42,"Enthusiastic Library","122 Enthusiastic Road, Enthusiastic City"
43,"Creative Library","133 Creative Street, Creative Town"
44,"Clever Library","144 Clever Avenue, Clever City"
45,"Imaginative Library","155 Imaginative Road, Imaginative City"
46,"Innovative Library","166 Innovative Boulevard, Innovative Town"
47,"Ambitious Library","177 Ambitious Street, Ambitious City"
48,"Bold Library","188 Bold Avenue, Bold Town"
49,"Confident Library","199 Confident Road, Confident City"
50,"Brilliant Library","210 Brilliant Street, Brilliant Town"
51,"Brave Library","221 Brave Avenue, Brave City"
52,"Fearless Library","232 Fearless Road, Fearless City"
53,"Courageous Library","243 Courageous Street, Courageous Town"
54,"Daring Library","254 Daring Avenue, Daring City"
55,"Valiant Library","265 Valiant Road, Valiant City"
56,"Dynamic Library","276 Dynamic Street, Dynamic Town"
57,"Energetic Library","287 Energetic Avenue, Energetic City"
58,"Lively Library","298 Lively Road, Lively City"
59,"Active Library","310 Active Street, Active Town"
